,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,LAT,LON,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Unnamed: 22,Unnamed: 23,Easting,Northing
47,47,47,47,47,47,47,2021-11-03T01:33:16.950Z,40.3711667,-124.2571667,29.93,3.05,ml,32.0,111.0,0.05334,0.12,nc,nc73648090,2022-01-14T17:58:56.040Z,"6km NNE of Petrolia, CA",earthquake,0.34,0.45,0.228,33,reviewed,nc,nc,,,393270.50976006227,4469712.925708484
48,48,48,48,48,48,48,2021-11-03T00:41:50.310Z,40.3793333,-124.283,28.69,2.48,md,22.0,130.0,0.05731,0.1,nc,nc73648055,2022-01-14T17:59:08.040Z,"6km N of Petrolia, CA",earthquake,0.45,0.47,0.37,27,reviewed,nc,nc,,,391090.4366219593,4470650.930925279
49,49,49,49,49,49,49,2021-11-03T00:39:08.730Z,40.373,-124.2525,27.74,2.63,md,28.0,108.0,0.05647,0.12,nc,nc73648050,2022-01-14T17:58:55.040Z,"6km NNE of Petrolia, CA",earthquake,0.35,0.5,0.192,37,reviewed,nc,nc,,,393669.5901914289,4469910.803720951
50,50,50,50,50,50,50,2021-11-03T00:27:01.980Z,40.357,-124.2666667,29.81,2.32,md,22.0,115.0,0.0375,0.18,nc,nc73648045,2021-11-10T11:21:13.255Z,"4km NNE of Petrolia, CA",earthquake,0.59,0.59,0.419,19,reviewed,nc,nc,,,392441.44961045467,4468151.906744054
51,51,51,51,51,51,51,2021-11-03T00:24:51.300Z,40.363,-124.2553333,29.6,4.38,mw,37.0,109.0,0.04531,0.13,nc,nc73648040,2022-01-14T17:58:55.040Z,"5km NNE of Petrolia, CA",earthquake,0.36,0.43,,3,reviewed,nc,nc,,,393413.29768039286,4468804.197764804
52,52,52,52,52,52,52,2021-11-02T21:32:36.030Z,47.17416667,-121.9366667,-0.77,1.42,ml,21.0,97.0,0.0382,0.27,uw,uw61785802,2021-11-03T23:03:45.630Z,"5 km SE of Enumclaw, Washington",explosion,0.73,31.61,0.095322539,12,reviewed,uw,uw,,,580577.1084672345,5225067.32873391
53,53,53,53,53,53,53,2021-11-02T15:48:50.470Z,39.4671,-118.2482,12.2,0.7,ml,7.0,325.06,0.186,0.138,nn,nn00827314,2021-11-03T02:37:52.687Z,"40 km E of Fallon Station, Nevada",earthquake,,8.1,0.0,1,reviewed,nn,nn,,,908838.2885824122,4379403.098673313
54,54,54,54,54,54,54,2021-11-02T15:03:54.980Z,40.9413333,-123.5296667,26.01,2.45,md,22.0,48.0,0.1676,0.12,nc,nc73647855,2022-01-14T17:58:54.040Z,"8km E of Willow Creek, CA",earthquake,0.36,0.76,0.152,24,reviewed,nc,nc,,,455414.65404168505,4532379.580296338
55,55,55,55,55,55,55,2021-11-02T14:00:13.850Z,39.449,-120.5393,0.0,0.5,ml,4.0,251.36,0.195,0.2165,nn,nn00827313,2021-11-03T02:37:51.096Z,Northern California,earthquake,,0.0,0.28,3,reviewed,nn,nn,,,711735.7682977457,4369494.461405727
56,56,56,56,56,56,56,2021-11-02T13:27:55.280Z,41.95666667,-122.2443333,3.82,0.59,md,4.0,128.0,0.182,0.36,uw,uw61785702,2021-11-02T22:05:45.550Z,"24 km NW of Macdoel, California",earthquake,0.88,22.4,0.259148494,3,reviewed,uw,uw,,,562625.1564414384,4645241.105297318
57,57,57,57,57,57,57,2021-11-02T13:07:18.160Z,42.95816667,-122.1213333,3.5,0.14,md,3.0,191.0,0.02983,0.03,uw,uw61785697,2021-11-02T20:03:16.360Z,"37 km NE of Prospect, Oregon",earthquake,1.37,0.79,0.019094695,3,reviewed,uw,uw,,,571667.4472034388,4756543.795089953
58,58,58,58,58,58,58,2021-11-02T07:31:52.642Z,40.1733,-119.7952,4.0,0.7,ml,3.0,218.95,0.048,0.0087,nn,nn00827311,2021-11-03T02:37:48.684Z,"29 km E of Herlong, California",earthquake,,15.8,0.35,2,reviewed,nn,nn,,,772892.0800053959,4451918.343098194
59,59,59,59,59,59,59,2021-11-02T07:09:06.090Z,48.62166667,-123.0608333,14.83,1.22,ml,13.0,91.0,0.04449,0.16,uw,uw61785677,2021-11-02T19:58:44.980Z,"8 km WNW of Orcas, Washington",earthquake,0.44,0.62,0.108957455,3,reviewed,uw,uw,,,495516.89607510087,5385401.433091818
60,60,60,60,60,60,60,2021-11-02T04:48:43.370Z,46.71483333,-119.1848333,19.49,1.45,ml,22.0,78.0,0.1779,0.14,uw,uw61785662,2021-11-06T03:22:13.980Z,"12 km S of Othello, Washington",earthquake,0.33,0.56,0.27352747,16,reviewed,uw,uw,,,791577.1426523344,5180547.15282123
61,61,61,61,61,61,61,2021-11-02T00:30:23.190Z,42.337,-124.46,-0.47,1.8,ml,11.0,215.0,0.1105,0.34,uw,uw61785647,2021-11-02T17:56:26.840Z,"8 km SSW of Gold Beach, Oregon",earthquake,2.36,1.1,0.033064182,4,reviewed,uw,uw,,,379725.1184203773,4688226.232337528
62,62,62,62,62,62,62,2021-11-01T22:36:46.680Z,48.48483333,-123.2268333,20.85,1.1,ml,9.0,103.0,0.09713,0.08,uw,uw61785627,2021-11-06T02:30:57.060Z,"6 km NE of Oak Bay, Canada",earthquake,0.34,0.64,0.049918903,3,reviewed,uw,uw,,,483238.41152419674,5370214.563533885
63,63,63,63,63,63,63,2021-11-01T21:34:15.690Z,46.8435,-121.944,3.89,1.2,ml,21.0,103.0,0.00378,0.13,uw,uw61785617,2021-11-06T02:16:23.480Z,"11 km NE of Ashford, Washington",earthquake,0.3,0.43,0.127970712,10,reviewed,uw,uw,,,580516.8424478351,5188314.37424424
64,64,64,64,64,64,64,2021-11-01T21:17:27.070Z,49.38066667,-120.5163333,-0.51,2.02,ml,7.0,219.0,0.5855,0.38,uw,uw61785607,2021-11-06T02:03:41.350Z,"8 km S of Princeton, Canada",explosion,4.56,31.61,0.361287952,4,reviewed,uw,uw,,,680264.6618326794,5472740.621528798
65,65,65,65,65,65,65,2021-11-01T19:54:56.530Z,47.32766667,-123.1558333,43.81,2.12,ml,28.0,57.0,0.1109,0.23,uw,uw61785582,2021-11-01T23:31:36.160Z,"0 km S of Skokomish, Washington",earthquake,0.52,0.96,0.123482102,11,reviewed,uw,uw,,,488225.3089407453,5241589.33827935
66,66,66,66,66,66,66,2021-11-01T19:33:57.460Z,39.595,-123.3923333,5.84,1.77,md,18.0,89.0,0.05063,0.11,nc,nc73647585,2021-11-10T03:27:14.410Z,"13km SE of Laytonville, CA",earthquake,0.34,0.57,0.191,19,reviewed,nc,nc,,,466313.48763850983,4382881.263930975
67,67,67,67,67,67,67,2021-11-01T18:14:32.200Z,45.93416667,-123.1155,-0.2,1.25,ml,5.0,139.0,0.09847,0.02,uw,uw61785552,2021-11-01T19:39:45.040Z,"10 km NE of Vernonia, Oregon",explosion,0.55,31.61,0.037846313,3,reviewed,uw,uw,,,491045.96719822707,5086739.484804274
68,68,68,68,68,68,68,2021-11-01T17:59:06.640Z,46.84433333,-121.7385,-0.32,0.74,ml,9.0,89.0,0.009487,0.05,uw,uw61785542,2021-11-01T19:02:30.690Z,"24 km ENE of Ashford, Washington",earthquake,0.26,0.55,0.293761687,7,reviewed,uw,uw,,,596183.9690055875,5188638.168857863
69,69,69,69,69,69,69,2021-11-01T17:54:21.590Z,46.8445,-121.739,-0.53,0.75,ml,16.0,68.0,0.00978,0.07,uw,uw61785537,2021-11-01T18:52:38.330Z,"24 km ENE of Ashford, Washington",earthquake,0.22,0.46,0.21984556,7,reviewed,uw,uw,,,596145.5491343117,5188656.0772164315
70,70,70,70,70,70,70,2021-11-01T17:04:16.557Z,0.2081,96.709,8.0,6.0,mww,,17.0,1.391,1.0,us,us7000fqjc,2022-01-14T17:58:50.040Z,"253 km S of Sinabang, Indonesia",earthquake,7.2,1.7,0.047,44,reviewed,us,us,-4325252.19,19965961.1,-4325252.190004405,19965961.10236323
